Region,Chapter_SubChapter,Chapter_Lookup,Chapter_ID,No_Ambu,BRAND,Plate_No,STATUS
VII,Lapu-Lapu/Cordova ,Lapu-Lapu,59,1,Kia Besta Van / 1990,SEF 788,under repair
VII,Lapu-Lapu/Cordova ,Lapu-Lapu,59,1,Toyota Grandia / 2009,NIS 194,Functional
NCR,Las Pi–as City Sub Chapter,Las Pinas,27,1,Ford Ranger 4x4 / 2009,NIT 962,Functional
VIII,Leyte,Leyte,60,1,Toyota Hiace Van / 2009,ZSZ 322-A001,SERVICEABLE
NCR,Malabon City ,Malabon City,29,1,Toyota Hiace Van / 2007,ZJF 119,SERVICEABLE
NCR,Manila ,Manila,28,1,Toyota Hiace Van / 2005,ZBB 652,under repair
NCR,Manila ,Manila,28,1,E350 Ford / 1998,RHJ 404,Functional
V,Mindoro Oriental ,Oriental Mindoro,43,1,E350 Ford /1997,RHK 514,Functional
X,Misamis Oriental - Cagayan de Oro City ,Misamis Oriental,84,1,Ford Ranger 4x4 2009,NOP 612,Functional
X,Misamis Oriental - Cagayan de Oro City ,Misamis Oriental,84,1,Nissan (Japan) / 1993,ZRL 713,Functional
VI,Negros Occidental - Bacolod City ,Negros Occidental,61,1,Toyota (Japan) / 1993,ZRL 673,repaired
VI,Negros Occidental - Bacolod City ,Negros Occidental,61,1,Toyota Hiace (new) / 2013,,Functional
NCR,NHQ-,NHQ-,#N/A,1,Toyota Hiace (new) / 2013,,Functional
NCR,NHQ-,NHQ-,#N/A,1,Toyota Hi Lux / 2013,,Samar Leyte
NCR,NHQ-,NHQ-,#N/A,1,ICRC Hi-Lux / 2014,,Functional
NCR,NHQ-,NHQ-,#N/A,1,Ford Donation / 2014,,Functional
NCR,NHQ-,NHQ-,#N/A,1,Toyota Hiace Van / 2005,ZBB 662,Functional
NCR,NHQ-,NHQ-,#N/A,1,Ford E150 Van Type /2014,WTH 494,Functional
NCR,NHQ-,NHQ-,#N/A,1,Toyota Hiace Van / 2009,ZSZ 354-A003,Functional
NCR,NHQ-,NHQ-,#N/A,1,Toyota Hiace Van / 1991,ZRL 663-A026,Functional
NCR,NHQ-,NHQ-,#N/A,1,Toyota Hiace Van / 2009,ZTT286-A002,Functional
NCR,NHQ-,NHQ-,#N/A,1,Kia Besta Van / 1998,SFC 598,Functional
NCR,NHQ-,NHQ-,#N/A,1,Kia Besta Van / 1997,WNG 584,Functional
NCR,NHQ-,NHQ-,#N/A,1,Toyota Hiace Van / 2007,ZLC 152,Functional
NCR,NHQ-,NHQ-,#N/A,1,Ford E350 / 2003,RLL 783,Functional
VIII,Northern Samar,Northern Samar,63,1,Foton Van / 2010,,Functional
III,Nueva Ecija ,Nueva Ecija,17,1,Toyota Hiace Van / 1995,ZRL 728-A027,under repair
III,Nueva Ecija ,Nueva Ecija,17,1,Toyota Hiace Van / 2009,ZTT 759-A004,Functional
V,Occidental Mindoro Sub Chapter,Occidental Mindoro,42,1,Toyota Hi Ace / 2004,XRK 296,Functional
III,Olongapo City,Olongapo City,19,1,Toyota Hi Ace / 2009,ZRG 770,Good 
III,Olongapo City,Olongapo City,19,1,Ford Ranger 4x4 / 2007,ZLS 231-A023,Functional
III,Olongapo City,Olongapo City,19,1,Ford Ranger 4x4 / 2007,ZLW 674-A024,Functional
III,Olongapo City,Olongapo City,19,1,Toyota Hiace van/ 2013,WII 842,Good Running Condition
V,Palawan Chapter,Palawan,30,1,Ford Ranger 4x4 / 2009,NIS 872,Functional
III,Pampanga - Angeles City,Pampanga,20,1,Ford Ranger 4x4 / 2009,NIW 151,Functional 
I,Pangasinan Dagupan City SCC,Pangasinan,21,1,Ford Ranger 4x4 / 2009,NIE 582,Functional
NCR,Pasay City ,Pasay City,31,1,Ford Ranger 4x4 / 2009,NOP 944,Functional
NCR,Quezon City ,Quezon City,32,1,Kia Besta Van / 1997,FEH 828,Functional
NCR,Quezon City ,Quezon City,32,1,Toyota Hiace Van / 2009,ZRG 820-A016,Functional
NCR,Quezon City ,Quezon City,32,1,Ford Ranger 4x4 / 2009,NIT 951,Functional
NCR,Quezon City ,Quezon City,32,1,Ford Ranger 4x4 / 2009,NIL 552,Functional
NCR,Quezon City ,Quezon City,32,1,Kia Besta Van / 1997,GJX 349,poor
NCR,Quezon City ,Quezon City,32,1,Toyota Hiace Van / 2009,ZSM 940-A015,Functional
NCR,Quezon City ,Quezon City,32,1,Nissan Caravan / 1991,ZRL-653-A030,Functional
IV-A,Quezon Lucena City ,Quezon,40,1,Ford Ranger 4x4 / 2009,NOP 642,Functional
II,Quirino ,Quirino,22,1,Ford Ranger 4x4 / 2009,NIL 522,Functional
NCR,Rizal Chapter (Main),Rizal,33,1,Ford Ranger 4x4 / 2009,NIL 541,Functional
NCR,Rizal Chapter (Main),Rizal,33,1,Ford Ranger 4x4 / 2007,ZLS 382-A021,Functional
NCR,Rizal Chapter (Main),Rizal,33,1,Ford Ranger 4x4 / 2009,NIT 961,Functional
II,Santiago City Sub Chapter,Santiago City,23,1,Toyota Hi-Ace Van / 1993,,Functional
II,Santiago City Sub Chapter,Santiago City,23,1,Ford Ranger 4x4 / 2009,NOP 502,Functional
XII,South Cotabato ,South Cotabato,87,1,Ford Ranger 4x4 / 2007,ZLS 241-A019,Functional
ARMM,Sulu ,Sulu,89,1,Kia Besta Van / 1998,KCE 433,poor
XIII,Surigao del Sur ,Surigao del Sur,91,1,Ford Ranger 4x4 / 2009,NIE 592,minor repair
III,Tarlac,Tarlac,24,1,Ford Ranger 4x4 / 2007,ZPY 669,Functional
NCR,Valenzuela City,Valenzuela,34,1,Kia Besta Van / 1997,WEL 709,Functional
VIII,Western Samar,Western Samar,67,1,Ford Ranger 4x4 / 2009,NOP 622,Functional
I,Zambales ,Zambales,25,1,Kia Besta Van / 1998,LEB 314,Functional
IX,Zamboanga City,Zamboanga City,94,1,Ford Ranger 4x4 / 2009,NOP 652,Functional
IX,Zamboanga City,Zamboanga City,94,1,Ford Ranger 4x4 / 2009,NOP 672,Functional
IX,Zamboanga City,Zamboanga City,94,1,Kia Besta Van / 1997,LMA 930,poor
IX,Zamboanga City,Zamboanga City,94,1,Ford Ranger 4x4 / 2009,NIE 552,Functional
IX,Zamboanga del Norte ,Zamboanga del Norte,95,1,Ford Ranger 4x4 / 2009,NOP 632,Functional
